stid,name,state,country,county,cwa,nwszone,timezone,elevation_ft,lat,lon,mnet_id,air_temp_f,valid_time
G5750,GW5750 FOLEY,AL,US,,,,America/Chicago,91.86,30.43483,-87.75467,65,79.0,2026-04-30T22:06:00Z
G4271,GW4271 GULF BREEZE,FL,US,,,,America/Chicago,14.99,30.38633,-87.05217,65,79.0,2026-04-30T22:02:00Z
EINL1,North of Eugene Island,LA,US,,,,America/Chicago,20.0,29.37306,-91.38389,96,79.0,2026-04-30T21:00:00Z
D9919,DW9919 Gulf Shores,AL,US,,,,America/Chicago,11.02,30.28783,-87.51133,65,79.0,2026-04-30T22:00:00Z
D4135,DW4135 Milton,FL,US,,,,America/Chicago,150.66,30.66033,-87.04733,65,79.0,2026-04-30T22:03:00Z
C5236,CW5236 PENSACOLA,FL,US,,,,America/Chicago,83.66,30.47172,-87.31883,65,79.0,2026-04-30T22:05:00Z
AV775,KJ4EWA Milton,FL,US,,,,America/Chicago,89.0,30.65283,-87.11950,65,79.0,2026-04-30T22:06:00Z
2057W,FSWN Santa Rosa EOC,FL,US,,,,America/Chicago,98.0,30.59828,-87.07002,249,79.0,2026-04-30T22:00:00Z
KPNS,Pensacola - Pensacola International Airport,FL,US,,,,America/Chicago,118.0,30.47806,-87.18694,1,78.8,2026-04-30T22:00:00Z
KEKE,EUGENE ISLAND 25,,,,,,Etc/GMT+6,102.0,28.50000,-91.58330,1,78.8,2026-04-30T21:55:00Z
1201W,Booker T. Washington High School,FL,US,,,,America/Chicago,121.0,30.48424,-87.21184,249,78.8,2026-04-30T22:00:00Z
NDBCPCLF1,"8729840 - Pensacola, FL",FL,US,,,,America/Chicago,9.19,30.404,-87.211,286,78.6,2026-04-30T21:30:00Z
1199W,Pensacola High School,FL,US,,,,America/Chicago,69.0,30.43479,-87.22465,249,78.6,2026-04-30T22:00:00Z
1213W,Pace Fire Rescue Station 4,FL,US,,,,America/Chicago,190.0,30.69987,-87.18477,249,78.5,2026-04-30T22:00:00Z
0902W,Milton High School,FL,US,,,,America/Chicago,75.0,30.63261,-87.04482,249,78.5,2026-04-30T22:00:00Z
0325W,Woodlawn Beach Middle School,FL,US,,,,America/Chicago,43.0,30.39198,-87.00908,249,78.5,2026-04-30T22:00:00Z
NTC8762075,"Port Fourchon, Belle Pass",LA,US,,,,America/Chicago,2.0,29.1142,-90.1993,278,78.4,2026-04-30T21:42:00Z
2117W,Foley Elementary School,AL,US,,,,America/Chicago,115.0,30.40956,-87.69092,249,78.3,2026-04-30T22:00:00Z
1196W,Escambia High School,FL,US,,,,America/Chicago,75.0,30.42699,-87.29960,249,78.2,2026-04-30T22:00:00Z
KNDZ,"Milton, Whiting Field South",FL,US,,,,America/Chicago,177.0,30.69722,-87.02,1,78.1,2026-04-30T21:56:00Z
1479W,FSWN Santa Rosa Allentown,FL,US,,,,America/Chicago,213.0,30.78287,-87.09209,249,78.1,2026-04-30T22:00:00Z
GRBM6,GRAND BAY,MS,US,,,,America/Chicago,7.0,30.438330,-88.425560,2,78.0,2026-04-30T21:50:00Z
G6029,GW6029 FOLEY,AL,US,,,,America/Chicago,278.87,30.41333,-87.69133,65,78.0,2026-04-30T22:05:00Z
F9403,FW9403 Summerdale,AL,US,,,,America/Chicago,129.0,30.48733,-87.74317,65,78.0,2026-04-30T22:06:00Z
F9380,FW9380 Gulf Breeze,FL,US,,,,America/Chicago,15.22,30.36100,-87.19100,65,78.0,2026-04-30T22:05:00Z
F4411,FW4411 Milton,FL,US,,,,America/Chicago,5.28,30.46000,-87.09667,65,78.0,2026-04-30T22:03:00Z
E6903,EW6903 Lockport,LA,US,,,,America/Chicago,5.08,29.66000,-90.54483,65,78.0,2026-04-30T22:00:00Z
D6471,DW6471 Daphne,AL,US,,,,America/Chicago,158.99,30.63016,-87.86720,65,78.0,2026-04-30T22:03:00Z
D4362,DW4362 Milton,FL,US,,,,America/Chicago,154.0,30.66826,-87.06036,65,78.0,2026-04-30T22:01:00Z
D1458,DW1458 Foley,AL,US,,,,America/Chicago,61.61,30.404,-87.66983,65,78.0,2026-04-30T22:00:00Z
AX128,KN4CGX PENSACOLA,FL,US,,,,America/Chicago,111.55,30.51750,-87.36583,65,78.0,2026-04-30T22:00:00Z
AW025,KF5WKW CANTONMENT,FL,US,,,,America/Chicago,65.0,30.54533,-87.33683,65,78.0,2026-04-30T22:05:00Z
SSLYH,Davenport Bayou,FL,US,,,,America/Chicago,26.0,30.38129,-87.27328,248,77.9,2026-04-30T21:53:00Z
NDBCPTFL1,"8762075 - Port Fourchon, LA",LA,US,,,,America/Chicago,4.26,29.114,-90.199,286,77.9,2026-04-30T21:00:00Z
1697W,FSWN Escambia Pensacola Beach,FL,US,,,,America/Chicago,10.0,30.33823,-87.11521,249,77.9,2026-04-30T22:00:00Z
USA10,Foley,AL,US,,,,America/Chicago,56.0,30.36990,-87.64560,3011,77.8,2026-04-30T22:05:00Z
NDBCBYGL1,"8762482 - West Bank 1, Bayou Gauche, LA",LA,US,,,,America/Chicago,0.0,29.789,-90.42,286,77.7,2026-04-30T21:00:00Z
1602W,UWF Sports Complex,FL,US,,,,America/Chicago,89.0,30.54068,-87.20447,249,77.7,2026-04-30T22:00:00Z
1584W,Central School,FL,US,,,,America/Chicago,200.0,30.76544,-87.07391,249,77.7,2026-04-30T22:00:00Z
USA8,Elberta,AL,US,,,,America/Chicago,73.0,30.41130,-87.58500,3011,77.6,2026-04-30T22:05:00Z
2216W,UWF Rec Plex North,FL,US,,,,America/Chicago,33.0,30.54595,-87.21278,249,77.6,2026-04-30T22:00:00Z
1089W,Chumuckla Elementary School,FL,US,,,,America/Chicago,217.0,30.77925,-87.22295,249,77.5,2026-04-30T22:00:00Z
SSTRN,Perdido Bay,,,,,,America/Chicago,,30.41397,-87.37181,248,77.4,2026-04-30T21:53:00Z
WKXA1,NERRS METEOROLOGICAL SITE AT WEEKS BAY IN FAIRHOPE,AL,US,,,,America/Chicago,16.0,30.41611,-87.82611,188,77.3,2026-04-30T21:45:00Z
USA7,Robertsdale,AL,US,,,,America/Chicago,154.0,30.58400,-87.73010,3011,77.3,2026-04-30T22:05:00Z
USA12,Gasque,AL,US,,,,America/Chicago,4.0,30.23870,-87.85400,3011,77.2,2026-04-30T22:05:00Z
SSXXQ,Milton Riverwalk South,FL,US,,,,America/Chicago,,30.62275,-87.03485,248,77.2,2026-04-30T20:50:00Z
1203W,Pine Forest High School,FL,US,,,,America/Chicago,112.0,30.48807,-87.29538,249,77.2,2026-04-30T22:00:00Z
0172W,UWF Pace Library,FL,US,,,,America/Chicago,79.0,30.55007,-87.21730,249,77.2,2026-04-30T22:00:00Z
SHCM6,MS SANDHILL CRANE - FTS,MS,US,,,,America/Chicago,25.0,30.452780,-88.661670,2,77.0,2026-04-30T21:51:00Z
PSTL1,Pilots Station East,LA,US,,,,America/Chicago,0.0,28.93220,-89.40750,122,77.0,2026-04-30T21:42:00Z
NLOF1,NAVAL LIVE OAKS,FL,US,,,,America/Chicago,15.0,30.366390,-87.1375,2,77.0,2026-04-30T21:22:00Z
NDBCKIKT,Mississippi Canyon 474 / Na Kika FPU (BP),,,,,,Etc/GMT+6,,28.521,-88.289,286,77.0,2026-04-30T21:55:00Z
KNPA,Pensacola Naval Air Station,FL,US,,,,America/Chicago,16.0,30.35641,-87.32326,1,77.0,2026-04-30T21:56:00Z
KNBG,New Orleans Naval Air Station - Alvin Callender Field,LA,US,,,,America/Chicago,0.0,29.83736,-90.02445,1,77.0,2026-04-30T21:55:00Z
KJKA,Jack Edwards Airport,AL,US,,,,America/Chicago,16.0,30.28960,-87.67180,1,77.0,2026-04-30T21:55:00Z
KIKT,Nakika Subsea Development Platform,MS,US,,,,Etc/GMT+6,0.0,28.5208,-88.2889,1,77.0,2026-04-30T21:55:00Z
KCQF,Sonny Callahan Airport,AL,US,,,,America/Chicago,92.0,30.46100,-87.87700,1,77.0,2026-04-30T21:55:00Z
KBIX,Keesler Air Force Base / Biloxi,MS,US,,,,America/Chicago,33.0,30.41667,-88.91667,1,77.0,2026-04-30T21:35:00Z
G2684,GW2684 Robertsdale,AL,US,,,,America/Chicago,141.08,30.53967,-87.71467,65,77.0,2026-04-30T22:05:00Z
G0933,GW0933 Pensacola,FL,US,,,,America/Chicago,16.4,30.26633,-87.26533,65,77.0,2026-04-30T22:01:00Z
F3872,FW3872 Orange Beach,AL,US,,,,America/Chicago,15.81,30.28450,-87.58183,65,77.0,2026-04-30T22:05:00Z
E8473,EW8473 Gretna,LA,US,,,,America/Chicago,-1.84,29.90750,-90.04883,65,77.0,2026-04-30T22:05:00Z
E6361,EW6361 Orange Beach,AL,US,,,,America/Chicago,1.05,30.304,-87.476,65,77.0,2026-04-30T22:00:00Z
E3364,EW3364 Belle Chasse,LA,US,,,,America/Chicago,-0.53,29.85967,-89.99183,65,77.0,2026-04-30T22:00:00Z
D2686,DW2686 Robertsdale,AL,US,,,,America/Chicago,84.61,30.5255,-87.7285,65,77.0,2026-04-30T22:05:00Z
C9352,CW9352 Pensacola,FL,US,,,,America/Chicago,19.91,30.33417,-87.35500,65,77.0,2026-04-30T22:00:00Z
BYGL1,West Bank 1,LA,US,,,,America/Chicago,3.0,29.78856,-90.42020,122,77.0,2026-04-30T22:00:00Z
AT261,KE5JZM-1 Lutcher,LA,US,,,,America/Chicago,10.96,30.04367,-90.69933,65,77.0,2026-04-30T22:05:00Z
AR152,KC5LIO Fairhope,AL,US,,,,America/Chicago,91.53,30.51833,-87.81717,65,77.0,2026-04-30T22:02:00Z
FRPA1,USCRN SITE NEAR FAIRHOPE 3NE,AL,US,,,,America/Chicago,111.0,30.54861,-87.87583,123,76.9,2026-04-30T21:25:00Z
NORL1,MISSISSIPPI RIVER AT CARROLLTON GAGE AT NEW ORLEANS,LA,US,,,,America/Chicago,20.0,29.93472,-90.13611,106,76.8,2026-04-30T21:00:00Z
NDBCWKXA1,"Safe Harbor Met Station, Weeks Bay Reserve, AL",AL,US,,,,America/Chicago,10.99,30.421,-87.828,286,76.8,2026-04-30T20:45:00Z
BURL1,Southwest Pass,LA,US,,,,America/Chicago,0.0,28.90000,-89.43000,96,76.8,2026-04-30T21:00:00Z
1894W,FSWN Escambia Molino,FL,US,,,,America/Chicago,194.0,30.71569,-87.34388,249,76.8,2026-04-30T22:00:00Z
JAYF1,Jay,FL,US,,,,America/Chicago,220.0,30.77516,-87.14015,60,76.7,2026-04-30T22:00:00Z
1896W,FSWN Escambia Perdido Key,FL,US,,,,America/Chicago,3.0,30.29158,-87.46896,249,76.7,2026-04-30T22:00:00Z
1683W,FSWN Escambia Century Fire Station,FL,US,,,,America/Chicago,131.0,30.95580,-87.27981,249,76.7,2026-04-30T22:00:00Z
NDBCPSTL1,"8760922 - Pilot's Station East, SW Pass, LA",LA,US,,,,America/Chicago,11.81,28.932,-89.407,286,76.6,2026-04-30T21:00:00Z
1972W,Harbor Police Headquarters - Irish Channel,LA,US,,,,America/Chicago,13.0,29.92063,-90.07651,249,76.5,2026-04-30T22:00:00Z
LM029,ULM_MARO,LA,US,,,,America/Chicago,5.0,29.8305,-90.11407,313,76.4,2026-04-30T21:55:00Z
USA9,Fairhope,AL,US,,,,America/Chicago,125.0,30.54120,-87.88190,3011,76.3,2026-04-30T22:05:00Z
KIYA,Abbeville Chris Crusta Memorial Airport,LA,US,,,,America/Chicago,16.0,29.97578,-92.08422,1,76.3,2026-04-30T21:55:00Z
1206W,Tate High School,FL,US,,,,America/Chicago,167.0,30.57754,-87.30088,249,76.3,2026-04-30T22:00:00Z
1968W,Port NOLA Maintenance- Uptown/West Riverside,LA,US,,,,America/Chicago,20.0,29.91441,-90.11443,249,76.2,2026-04-30T22:00:00Z
NDBCOBLA1,"8737048 - Mobile State Docks, AL",AL,US,,,,America/Chicago,9.84,30.705,-88.04,286,76.1,2026-04-30T21:00:00Z
GCBSCA1,"BSCA - Station Bon Secour, LA",AL,US,,,,America/Chicago,0.0,30.3288,-87.8293,315,76.1,2026-04-30T21:00:00Z
USA11,Loxley,AL,US,,,,America/Chicago,184.0,30.64030,-87.73150,3011,76.0,2026-04-30T22:09:00Z
SHBL1,Shell Beach,LA,US,,,,America/Chicago,0.0,29.86811,-89.67325,122,76.0,2026-04-30T21:48:00Z
PTOA1,Pinto Island,AL,US,,,,America/Chicago,10.0,30.67114,-88.03106,121,76.0,2026-04-30T21:48:00Z
PILL1,Pilottown,LA,US,,,,America/Chicago,3.0,29.17830,-89.25830,121,76.0,2026-04-30T21:48:00Z
OBLA1,Mobile State Docks,AL,US,,,,America/Chicago,20.0,30.70830,-88.04330,122,76.0,2026-04-30T21:48:00Z
NNHM6,HANCOCK,MS,US,,,,America/Chicago,98.0,30.451110,-89.454440,2,76.0,2026-04-30T21:09:00Z
MBPA1,Middle Bay Port - Mobile Bay,AL,US,,,,America/Chicago,20.0,30.52711,-88.08656,121,76.0,2026-04-30T21:48:00Z
G5321,GW5321 PENSACOLA,FL,US,,,,America/Chicago,7.91,30.29617,-87.42867,65,76.0,2026-04-30T22:04:00Z
G4772,GW4772 GATESWOOD,AL,US,,,,America/Chicago,177.16,30.70833,-87.54767,65,76.0,2026-04-30T22:00:00Z
G2193,GW2193 GULF SHORES,AL,US,,,,America/Chicago,26.25,30.26933,-87.67700,65,76.0,2026-04-30T22:00:00Z
G2175,GW2175 SPANISH FORT,AL,US,,,,America/Chicago,108.27,30.66967,-87.91600,65,76.0,2026-04-30T22:03:00Z
G0489,GW0489 Pensacola,FL,US,,,,America/Chicago,9.0,30.31467,-87.47833,65,76.0,2026-04-30T22:00:00Z
E4624,EW4624 Pensacola,FL,US,,,,America/Chicago,4.0,30.30633,-87.42333,65,76.0,2026-04-30T22:00:00Z
E1604,EW1604 GAUTIER,MS,US,,,,America/Chicago,19.0,30.45950,-88.64750,65,76.0,2026-04-30T22:00:00Z
D6888,DW6888 Gretna,LA,US,,,,America/Chicago,-2.49,29.87467,-90.03783,65,76.0,2026-04-30T22:03:00Z
CKWM6,CAMP KELLER,MS,US,,,,America/Chicago,130.0,30.524230,-88.982030,2,76.0,2026-04-30T22:00:00Z
AW503,KX4DU FAIRHOPE,AL,US,,,,America/Chicago,104.0,30.49100,-87.87483,65,76.0,2026-04-30T22:05:00Z
AV683,KG5WBN New Orleans,LA,US,,,,America/Chicago,6.56,29.95400,-90.12617,65,76.0,2026-04-30T22:07:00Z
KNSE,Milton - Whiting Field Naval Air Station North,FL,US,,,,America/Chicago,184.0,30.72848,-87.02192,1,75.9,2026-04-30T20:56:00Z
TFBM6,TNC FORT BAYOU,MS,US,,,,America/Chicago,43.0,30.47120,-88.74162,29,75.7,2026-04-30T21:00:00Z
NTC8737048,Mobile State Docks,AL,US,,,,America/Chicago,4.0,30.70461,-88.03961,278,75.7,2026-04-30T21:54:00Z
NTC8734383,Fort Morgan,AL,US,,,,America/Chicago,0.0,30.234333,-87.99358,278,75.7,2026-04-30T21:54:00Z
NDBCSHBL1,"8761305 - Shell Beach, LA",LA,US,,,,America/Chicago,0.0,29.868,-89.673,286,75.7,2026-04-30T21:00:00Z
1881W,NOFD Engine 16 - Central City,LA,US,,,,America/Chicago,16.0,29.94131,-90.08049,249,75.7,2026-04-30T22:00:00Z
1687W,FSWN Escambia Walnut Hill,FL,US,,,,America/Chicago,272.0,30.89988,-87.47842,249,75.7,2026-04-30T22:00:00Z
NDBCFRMA1,"8734383 - Fort Morgan, AL",AL,US,,,,America/Chicago,5.34,30.234,-87.994,286,75.6,2026-04-30T21:30:00Z
MSS12,Coastal Research and Extension Center,MS,US,,,,America/Chicago,56.0,30.44102,-88.94368,236,75.6,2026-04-30T21:45:00Z
KOPA1,KOPTIS FARMS,AL,US,,,,America/Chicago,135.0,30.52380,-87.69797,29,75.6,2026-04-30T21:00:00Z
CEPM6,Pascagoula,MS,US,,,,America/Chicago,9.0,30.35970,-88.52120,3011,75.6,2026-04-30T22:06:00Z
USA3,Grand Bay,AL,US,,,,America/Chicago,54.0,30.50650,-88.36800,3011,75.5,2026-04-30T22:04:00Z
2281W,NORDC Norman Playground - Old Aurora,LA,US,,,,America/Chicago,33.0,29.91992,-89.99820,249,75.5,2026-04-30T22:00:00Z
2020W,Willowridge Pump Station Luling,LA,US,,,,America/Chicago,82.0,29.88464,-90.34422,249,75.5,2026-04-30T22:00:00Z
NDBCMBPA1,"8736163 - Middle Bay Port, Mobile Bay, AL",,,,,,America/Chicago,11.15,30.527,-88.086,286,75.4,2026-04-30T21:00:00Z
NDBCEFLA1,"8734536 - E Range Front Light Visibility, AL",,,,,,America/Chicago,14.11,30.429,-88.01,286,75.4,2026-04-30T21:00:00Z
EFLA1,E Range Front Light Visibility,AL,US,,,,America/Chicago,14.0,30.42861,-88.00972,96,75.4,2026-04-30T21:00:00Z
DILA1,Dauphin Island,AL,US,,,,America/Chicago,0.0,30.25000,-88.07500,122,75.4,2026-04-30T21:54:00Z
BRXA1,USCRN SITE NEAR BREWTON 3NNE,AL,US,,,,America/Chicago,187.0,31.14500,-87.05167,123,75.3,2026-04-30T21:00:00Z
NDBCPTOA1,"8737005 - Pinto Island, AL",,,,,,America/Chicago,14.11,30.671,-88.031,286,75.2,2026-04-30T21:30:00Z
NDBCGDXM6,"Crooked Bayou, Grand Bay Reserve, MS",MS,US,,,,America/Chicago,0.0,30.359,-88.42,286,75.2,2026-04-30T20:45:00Z
KPQL,Moss Point - Trent Lott International Airport,MS,US,,,,America/Chicago,16.0,30.46305,-88.53155,1,75.2,2026-04-30T22:00:00Z
KGPT,Gulfport - Gulfport-Biloxi International Airport,MS,US,,,,America/Chicago,26.0,30.41194,-89.08083,1,75.2,2026-04-30T22:00:00Z
KBFM,"Mobile, Mobile Downtown Airport",AL,US,,,,America/Chicago,23.0,30.61389,-88.06333,1,75.2,2026-04-30T22:00:00Z
GDXM6,NERRS METEOROLOGICAL SITE AT GRAND BAY NEAR MOSS POINT 8SE,MS,US,,,,America/Chicago,0.0,30.35722,-88.41889,188,75.1,2026-04-30T21:45:00Z
0900W,Jay High School,FL,US,,,,America/Chicago,282.0,30.94114,-87.15685,249,75.1,2026-04-30T22:00:00Z
UP878,MCCALL,LA,US,,,,America/Chicago,17.0,30.14032,-91.08864,64,75.0,2026-04-30T21:45:00Z
UP867,EDGARD,LA,US,,,,America/Chicago,12.0,30.01931,-90.54671,64,75.0,2026-04-30T21:38:00Z
TS947,SELA PORTABLE,LA,US,,,,America/Chicago,3.0,30.109000,-89.857830,2,75.0,2026-04-30T21:34:00Z
FRMA1,Fort Morgan,AL,US,,,,America/Chicago,5.0,30.23445,-87.99361,96,75.0,2026-04-30T21:00:00Z
F6464,FW6464 Long Beach,MS,US,,,,America/Chicago,22.97,30.36467,-89.18633,65,75.0,2026-04-30T22:00:00Z
F0324,FW0324 Thibodaux,LA,US,,,,America/Chicago,4.63,29.87333,-90.81733,65,75.0,2026-04-30T22:05:00Z
E8557,EW8557 Walnut Hill,FL,US,,,,America/Chicago,254.0,30.87983,-87.50050,65,75.0,2026-04-30T22:00:00Z
E2701,EW2701 Gulfport,MS,US,,,,America/Chicago,73.0,30.49600,-89.07517,65,75.0,2026-04-30T22:00:00Z
BCCM6,BOGUE CHITTO,MS,US,,,,America/Chicago,126.0,30.661940,-89.795560,2,75.0,2026-04-30T21:12:00Z
AS256,KF4IRC Mobile,AL,US,,,,America/Chicago,31.99,30.668,-88.1145,65,75.0,2026-04-30T22:05:00Z
2248W,Regional Transit Authority - Mid City,LA,US,,,,America/Chicago,148.0,29.96720,-90.08893,249,75.0,2026-04-30T22:00:00Z
1885W,NOFD Rescue Squad 7 - Treme,LA,US,,,,America/Chicago,10.0,29.96268,-90.07154,249,75.0,2026-04-30T22:00:00Z
1873W,NORDC Morris F.X. Jeff - Sr. Park - Algiers,LA,US,,,,America/Chicago,13.0,29.94202,-90.02991,249,75.0,2026-04-30T22:00:00Z
1824W,SWBNO West Bank Water Treatment - English Turn,LA,US,,,,America/Chicago,10.0,29.90704,-89.96619,249,75.0,2026-04-30T22:00:00Z
NDBCDILA1,"8735180 - Dauphin Island, AL",,,,,,America/Chicago,23.29,30.25,-88.075,286,74.8,2026-04-30T21:00:00Z
MCGA1,Coast Guard Sector Mobile,AL,US,,,,America/Chicago,13.0,30.64830,-88.05830,121,74.8,2026-04-30T21:54:00Z
GCDPHA1,"DISL - Dauphin Island, AL",AL,US,,,,America/Chicago,0.0,30.2513,-88.0778,315,74.8,2026-04-30T21:00:00Z
1819W,Loyola University New Orleans - Uptown/Audubon,LA,US,,,,America/Chicago,30.0,29.93707,-90.11992,249,74.7,2026-04-30T22:00:00Z
USA5,Saraland,AL,US,,,,America/Chicago,20.0,30.83020,-88.06580,3011,74.6,2026-04-30T22:04:00Z
LSU05,Iberia,LA,US,,,,America/Chicago,23.0,29.95985,-91.71488,256,74.6,2026-04-30T22:05:00Z
2245W,City Equipment Maintenance - Desire,LA,US,,,,America/Chicago,33.0,29.99992,-90.03133,249,74.6,2026-04-30T22:00:00Z
1875W,NOFD Engine 27 - Seventh Ward/St.Roch,LA,US,,,,America/Chicago,7.0,29.97951,-90.05844,249,74.6,2026-04-30T22:00:00Z
1826W,SWBNO East Bank Water Intake- Carrollton Bend,LA,US,,,,America/Chicago,10.0,29.95499,-90.13982,249,74.6,2026-04-30T22:00:00Z
1815W,New Orleans City Hall - Central Business District,LA,US,,,,America/Chicago,39.0,29.95203,-90.07713,249,74.6,2026-04-30T22:00:00Z
NDBCNWCL1,"8761927 - New Canal Station, LA",,,,,,America/Chicago,5.58,30.027,-90.113,286,74.5,2026-04-30T21:00:00Z
1818W,SWBNO East Bank Water Treatment - Lower 9th Ward,LA,US,,,,America/Chicago,13.0,29.97728,-89.99746,249,74.5,2026-04-30T22:00:00Z
1208W,Northview High School,FL,US,,,,America/Chicago,276.0,30.96756,-87.40608,249,74.5,2026-04-30T22:00:00Z
LM030,ULM_CHAL,LA,US,,,,America/Chicago,6.0007,29.97033,-89.95386,313,74.4,2026-04-30T22:00:00Z
KBXA,"Bogalusa, George R Carr Memorial Air Field",LA,US,,,,America/Chicago,118.0,30.81361,-89.86472,1,74.3,2026-04-30T21:55:00Z
GCKATA1,"KATA - Katrina Cut, AL",AL,US,,,,America/Chicago,0.0,30.2583,-88.2131,315,74.3,2026-04-30T21:30:00Z
2280W,SWBNO Pumping Station Bayou Sauvage,LA,US,,,,America/Chicago,164.0,30.02977,-89.86796,249,74.2,2026-04-30T22:00:00Z
1970W,Port NOLA Administration - Warehouse District/Riverwalk,LA,US,,,,America/Chicago,30.0,29.93710,-90.06144,249,74.2,2026-04-30T22:00:00Z
NDBCWYCM6,"8747437 - Bay Waveland Yacht Club, MS",MS,US,,,,America/Chicago,0.0,30.326,-89.326,286,74.1,2026-04-30T21:30:00Z
NDBCPTBM6,"8741003 - Petit Bois Island, Port of Pascagoula, MS",,,,,,America/Chicago,,30.213,-88.505,286,74.1,2026-04-30T21:00:00Z
WYCM6,Bay Waveland Yacht Club,MS,US,,,,America/Chicago,0.0,30.32639,-89.32578,122,74.0,2026-04-30T21:48:00Z
USA20,Castleberry,AL,US,,,,America/Chicago,250.0,31.29580,-87.03130,3011,74.0,2026-04-30T22:05:00Z
